term,definition
FIAC,Foire internationale d'art contemporain
FIAM,Fonds d'intervention pour l'auto-développement en montagne
FIANE,Fonds d'intervention et d'action pour la nature et l'environnement
FIAT,Fonds d'intervention pour l'aménagement du territoire
FIATA,Fonds d'intervention pour les aéroports et le transport aérien
FIC,Fonds d'intervention culturelle
FIC,Forum International de la Cybersécurité
FICA,Fondation à l'initiative créatrice artisanale
FICE,Fonds d'indemnisation des commissaires enquêteurs.
FICP,Fichier Des Incidents De Remboursement Des Crédits Aux Particuliers
FICQS,Fonds d’Intervention pour la Qualité et pour la coordination des Soins
FIDA,Fonds international pour le développement avicole
FIDAR,Fonds interministériel de développement et d'aménagement rural
FIDD,Fonds d'investissement en développement durable.
FIDE,Fédération internationale pour le droit européen.
FIDEME,Fonds d'intervention pour l'environnement et la maîtrise de l'énergie.
FIDES,facturation individuelle des établissements de santé
FIDES,Fonds d'investissement pour le développement économique et social
FIDIL,Fonds pour l'intervention et le développement des initiatives locales
FIDOM,Fonds d'investissement des départements d'outre-mer
FIJAIS,FIchier Judiciaire des Auteurs d'Infractions Sexuelles
FIM,Fonds industriel de modernisation
FIMHO,Fonds d'investissement pour la modernisation des hôpitaux
FINESS,Fichier national des établissements sanitaires et sociaux
FING,Fondation Internet Nouvelle Génération
FINUL,Force intérimaire des Nations unies au Liban
FIOM,Fonds d'intervention et d'organisation des marchés des produits de la pêche maritime et de la conchyliculture
FIP,Fonds d'investissement de proximité
FIPD,Fonds interministériel de prévention de la délinquance
FIPE,Fonds d'investissement pour la petite enfance
FIPH-FP,Fonds d'insertion des personnes handicapées dans la fonction publique
FIPHFP,Fonds pour l'insertion des personnes handicapées dans la fonction publique
FIPN - RAID,"Force d'intervention de la police nationale - Service Recherche, assistance, intervention et dissuasion"
FIPOL,Fonds international d'indemnisation pour les dommages dus à la pollution par les hydrocarbures
FIQCS,Fonds d'intervention pour la qualité et la coordination des soins
FIQV,Fonds interministériel pour la qualité de la vie
FIR,Fonds d'investissement routier
FIR,Fiche Individuelle de Renseignement
FIRS,Fonds d'intervention et de régularisation des marchés du sucre
FIRST,Formation intervention recherche SIDA toxicomanie
FIRU,Fonds d'intervention pour le renouvellement urbain.
FISAC,Fonds d'intervention pour la sauvegarde de l'artisanat et du commerce
FISAF,Fédération nationale pour l’Insertion des Sourds et des Aveugles en France
FIT,Foyer d’Insertion et de Transition
FITH,Fonds d'indemnisation des transfusés et hémophiles
FITPAT,Fédération française interprofessionnelle pour le traitement et la prévention de l’alcoolisme et autres toxicomanies
FITTVN,Fonds national d'investissement des transports terrestres et des voies navigables
FIV,Fonds d'intervention pour la ville
FIVA,Fonds d'indemnisation des victimes de l'amiante
FJT,Foyer de Jeunes Travailleurs
FL,Foyer Logement
FLES,Fond Local Emploi Solidarité
FLM,Foyer Logement Médicalisé
FLNC,Front de libération nationale de la Corse
FLNKS,Front de libération nationale kanak socialiste
FMC,Formation Médicale Continue
FMDI,Fonds de mobilisation départementale pour l'insertion
FME,Fonds monétaire européen.
FMESPP,Fonds pour la modernisation des établissements de santé publics et privés
FMF,Fédération des médecins de France
FMH,Fédération des Malades et Handicapés
FMH,Formation Militaire et Humaine
FMI,Fonds monétaire international
FMMG,Fédération des Maisons Médicales de Garde
FMO,Fédération des maladies orphelines
FMO,Force multinationale et d'observateurs
FMVM,Fédération des maires de villes moyennes.
FN3S,Fédération nationale des services sociaux spécialisés de protection de l’enfance et de l’adolescence en danger
FNAAFP,Fédération nationale des associations de l’aide familiale populaire
FNAAMF,Fédération nationale des associations pour l’aide aux mères de famille à domicile
FNAAPFCSF,Fédération nationale des associations de l’aide familiale populaire Confédération syndicale des familles
FNAC,Fédération nationale d'achat des cadres
FNACA,Fédération nationale des anciens combattants en Algérie
FNADAR,Fédération nationale des associations de l’aide à domicile des retraités regroupé avec la FNAFAD au sein de l’ADESSA
FNADT,Fonds National d’Aménagement et de Développement du Territoire
FNAEG,Fichier National Automatisé d'Empreintes de la Génétiques
FNAFAD,Fédération Nationale d’Aide Familiale A Domicile rasemblé deopuis 2002 avec la FNADAR au Sein de l’ADESSA
FNAFR,Fédération nationale des associations de familles rurales
FNAFU,Fonds national d'aménagement foncier et d'urbanisme
FNAH,Fonds national d'amélioration de l'habitat
FNAH,Fonds national d'amélioration de l'habitat.
FNAILS,Fichier National des Auteurs d'Infractions à la Législation sur les Stupéfiants
FNAIM,Fédération nationale des agents immobiliers
FNAL,Fonds national d'aide au logement
FNAPI,Fichier National Automatisé des Personnes Incarcérées
FNAPSY,Fédération Nationale des Patients et Ex-Patients de Psychiatrie
FNARS,Fédération nationale des associations d’accueil et de réinsertion sociale
FNASAT,Fédération Nationale Des Associations Solidaires D’action Avec Les Tsiganes Et Les Gens Du Voyage
FNASS,Fond National d’Action Sanitaire et Sociale
FNASSPA,Fonds national d’action sanitaire et sociale en faveur des personnes âgées
FNAT,Fonds national d'aménagement du territoire
FNATH,Fédération nationale des accidentés du travail et des handicapés
FNB,Fédération nationale du bâtiment.
FNBTP,Fédération nationale du bâtiment et des travaux publics.
FNC,Fédération nationale des chasseurs
FNC,Fichier National Canin
FNCAUE,"Fédération nationale des conseils d'architecture, d'urbanisme et d'environnement."
FNCCR,Fédération nationale des collectivités concédantes et des régies
FNCDG,Fédération nationale des centres de gestion
FNCE,Fédération nationale des caisses d'épargne.
FNCEJ,Fédération nationale des compagnies d'experts judiciaires.
FNCLCC,Fédération Nationale des Centres de Luttes Contre le Cancer
FNDA,Fonds national de développement agricole
FNDA (ou FNDVA),Fonds national pour le développement de la vie associative
FNDAE,Fonds national pour le développement des adductions d'eau
FNDAT,Fonds national de développement et d'aménagement du territoire
FNDS,Fonds national pour le développement du sport
FNDVA,Fonds national de développement de la vie associative
FNE,Fonds national de l'emploi
FNE,France nature environnement.
FNECLD,Fonds national de l’emploi pour les chômeurs de longue durée
FNEFI,Fonds national pour l’emploi des femmes isolées
FNEHAD,Fédération Nationale des Établissements d’Hospitalisation A Domicile
FNEPE,Fédération nationale des écoles des parents et des éducateurs
FNES,Fédération Nationale des comités d’Education pour la Santé
FNFM,Fichier National du Faux Monnayage
FNG,Fonds national de gérontologie
FNGCA,Fonds de garantie des calamités agricoles
FNGS,Ancienne appellation de AGS : Fonds National de Garantie des Salaires
FNH,Fonds national de l’habitat
FNHR,Fédération nationale de l’habitat rural
FNI,Forces nucléaires intermédiaires
FNIADA,Fichier National des Interdits d'Acquisition et de Détention d'Armes
FNIS,Fichier National des Interdits de Stade
FNISASIC,Fédération Nationale Des Institutions Sanitaires Et D’action Sociale D’inspiration Chrétienne
FNLC,Front national de libération de la Corse
FNMF,Fédération Nationale de la Mutualité Française
FNMIP,"Fédération nationale des malades, infirmes et paralysés"
FNOPHLM,Fédération Nationale des Offices Publics d’HLM
FNORS,Fédération Nationale des Observatoires Régionaux de la Santé
FNOS,Fichier National d'Objectifs en matière de Stupéfiants
FNP,Fonds national de péréquation
FNPC,Fichier National des Permis de Conduire
FNPEIS,Fonds National de Prévention d’Éducation et d’Information Sanitaires
FNPF,Fédération nationale de la presse française.
FNPF,Fonds national des prestations familiales
FNPS,Fichier National des Professionnels de Santé
FNS,Fonds national de la science
FNS,Fonds national de solidarité
FNSAGA,Fédération nationale des syndicats d'agents généraux d'assurance
FNSAHLM,Fédération Nationale des sociétés d’HLM
FNSE,Fonds national de solidarité pour l'eau
FNSEA,Fédération nationale des syndicats d'exploitants agricoles
FNSEM,Fédération nationale des sociétés d'économie mixte.
FNSP,Fondation nationale des sciences politiques
FNSSS,Fédération nationale des services sociaux spécialisés de protection de l’enfance et de l’adolescence en danger
FNTP,Fédération nationale des travaux publics.
FNUAP,Fonds des Nations unies pour les activités en matière de population
FNUD,Fonds des nations unies pour le développement.
FNULAD,Fonds des Nations unies pour la lutte antidrogue
FO,Force ouvrière
FO,Foyer Occupationnel
FOA,Foyer Occupationnel pour Adultes
FOL,Fédération des oeuvres laïques
FOLE,"Franchissement, Observation, Liens, Effraction"
FOMECBLOT,"Fond et forme, Ombres, Mouvement, Éclats, Couleurs, Bruit, Lumières, Odeurs, Traces"
FOMECS,"Forme, Ombre, Mouvement, Éclats, Couleurs, Silence"
FONGECIF,Fonds pour la gestion du congé individuel de formation
FONGEFOR,Fonds national de gestion paritaire de la formation professionnelle continue
FONJEP,Fonds de coopération de la jeunesse et de l'éducation populaire
FONPEL,Fonds de pension des élus locaux
FOPIM,Fonds de promotion de l'information médicale et médico-économique
FOREC,Fonds de financement de la réforme des cotisations patronales de sécurité sociale
FORMA,Fonds d'orientation et de régularisation des marchés agricoles
FORS,Fondation pour la recherche sociale
FOST,Force océanique stratégique
FOT,Foyer Opérationnelle Thérapeutique
FOVeS,Fichiers des Objets et Véhicules Signalés
FPA,Formation professionnelle des adultes
FPA,Foyer de personnes âgées
FPC,Formation professionnelle continue
FPC,Formation Professionnelle Conventionnelle
FPC,Fiche de Prise en Compte
FPE,Fonction publique de l’État
FPH,Fonction publique hospitalière
FPIL,Formation Professionnelle d’Initiative Locale
FPNRF,Fédération des parcs naturels régionaux de France
FPPC,Finalité Principale de Prise en Charge
FPPSE,"Formation professionnelle, de la promotion sociale et de l’emploi"
FPR,Fichier des Personnes Recherchées
FPRNM,Fonds de prévention des risques naturels majeurs
FPSPP,Fond Paritaire De Sécurisation Des Parcours Professionnels
FPT,Fonction publique territoriale
FPTA,Fonds de péréquation des transports aériens
FR2,France 2
FR3,France 3
FRAC,Fonds régionaux d'art contemporain
FRAD,Formateur Relais Anti-Drogues
FRAFP,Fonds régional de l’apprentissage et de formation professionnelle
FRAFU,Fonds régional d'aménagement foncier et urbain
FRAMEE,Fonds régional d'aide à la maîtrises de l'énergie et de l'environnement.
FRDE,Fonds régionaux pour le développement et l'emploi
FREE,Formateur Relais Environnement et Écologie
FRI,Force de Réponse Immediate
FRILE,Fonds régional d'aide aux initiatives locales pour l'emploi
FRR,Fonds de réserve pour les retraites
FRTI,Formateur Relais Travail Illégal
FRU,Fonds pour le renouvellement urbain
FRUP,Fondation reconnue d'utilité publique
FSAI,Fonds spécial d'adaptation industrielle
FSDRF,Fichier des Sans Domicile ni Résidence Fixe
FSE,Feuilles de Soins Electronique
FSE,Fonds social européen
FSGT,Fonds spécial de grands travaux
FSI,Fond Spécial Invalidité
FSI,"Groupe de contrôle des forces, du soutien et des systèmes d'information (FSI)"
FSIR,Fonds spécial d'intervention routière
FSJ,Feuille de Service Journalier
FSL,Fonds de solidarité pour le logement
FSO,Forfait Salle d’Opération
FSP,Fonds de solidarité prioritaire
FSPF,Fédération des Syndicats Pharmaceutiques de France
FSPOEIE,Fonds spécial des pensions des ouvriers des établissements industriels de l'État
FSPVA,Fond De Solidarité Et De Promotion De La Vie Associative
FSRIF,Fonds de solidarité des communes de la région Ile-de-France
FSU,Fédération syndicale unitaire
FSU,Fonds Social Urbain
FSV,Fonds de solidarité vieillesse
FSV,Fonds social vieillesse
FT,France Télécom
FTAP,Fonds de transformation de l’action publique
FTM,Foyer de travailleurs migrants
FTM,France télécoms mobile.
FUP,Fonds unique de péréquation des fonds de la formation professionnelle continue
FUS,Fond d’Urgence Sociale
FV,Foyer de Vie
FVV,Fichier des Véhicules Volés
Feclad,Fédération des centres labellisés pour les anomalies du développement
Fonds CMU,Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie
FranceAgriMer,FranceAgriMer - Établissement national des produits de l'agriculture et de la mer
GAC,Groupe d'Analyse Comportemental
GAD,Groupe Anti-Délinquance
GAEC,Groupement agricole d'exploitation en commun
GAFAM,Google Apple Facebook Amazon Microsoft
GAFI,Groupe d'action financière internationale
GALCOB,Groupement Local du Cente Ouest Bretagne
GAMSAU,Groupe de recherche pour l'application de méthodes scientifiques à l'architecture et à l'urbanisme.
GANIL,Grand accélérateur national d'ions lourds
GAP,Groupe d’action psychopédagogique (voir aussi GAPP et aussi la nouvelle appellation RASED)
GAP,Bureau Gestion administrative et paye
GAPP,Groupe d'aide psychopédagogique
GARESC,Groupe Allier De Ressources En Education à La Santé Et à La Citoyenneté
GATT,General agreement on tariffs and trade (Accord général sur les tarifs douaniers et le commerce)
GAV,Gendarme Adjoint Volontaire ou Garde À Vue
GBEA,Guide de Bonne Exécution des Analyses de biologie médicale
GBGM,Groupement Blindé de la Gendarmerie Mobile
GC,Groupe de Commandement
GCA,Groupe des Classes-Ateliers
GCB,Génie civil du bâtiment.
GCCQ,Groupe de Coordination pour la Construction de la Qualité.
GCS,Groupement de Coopération Sanitaire
GCSMS,Groupement de Coopération Sociale et Médico-Sociale
GCVN,Goupe central des villes nouvelles.
GD,Gendarmerie Départementale
GDF,Gaz de France
GDR,Gestion Du Risque
GEA,Gestion et Administration des Entreprises
GEA,Gestion des Événements d'Ampleur
GECT,Groupement européen de coopération territoriale
GEIDE,Gestion électronique et informatique des documents
GEIE,Groupement européen d'intérêt économique
GEIP,Groupe européen indépendant de programmes
GEIQ,Groupement d'employeurs pour l'insertion et la qualification
GELAC,Groupement d'Enquête et de Lutte Anti-Cambriolage
GELD,Groupe d'études et de lutte contre les discriminations
GEM,Groupe d’Entraide Mutuelle
GEM,Groupes d’Etude des Marchés (de l’observatoire économique de l’achat public)
GEMS,Gendarme Enquêteur en Milieu Souterrain
GEN,Grandes entreprises nationales.
GENES,Groupe des écoles nationales d'économie et statistique
GEODE,Géographie de l'environnement.
GEPI,Groupe d'études prospectives internationales
GERDAT,Groupe d'études et de recherches pour le développement de l'agronomie tropicale
GERES,Groupe d’Etude sur les Risques d’Exposition des Soignants aux agents infectieux
GERIAPA,"Groupement d’études, de recherches et d’initiatives pour l’aide aux personnes âgées"
GERN,Groupe européen de recherche sur les normativités
GEROM,Groupe d'Exploitation du Renseignement Opérationnel Maritime
GES,Gaz à effet de serre.
GEVA,Grille D’évaluation De L’autonomie
GFA,Groupement foncier agricole
GFAG,Groupe de Formation Aérienne de la Gendarmerie
GFC,Gestion de Fin de Carrière
GFEN,Groupe français d’éducation nouvelle
GFM,Groupe Français des Myélodysplasies
GGD,Groupement de Gendarmerie Départementale
GGM,Groupement de Gendarmerie Mobile
GHJ,Groupe Homogène de Journée
GHM,Groupe Homogène de Malades
GHS,Groupe homogène de séjours
GHT,Groupe Homogène de Tarif
GIAA,Groupement des intellectuels aveugles et amblyopes
GIAT,Groupement des industries d'armement terrestre
GIC,Grand Invalide Civil
GIDEL,Groupe interministériel sur le développement économique local
GIE,Groupement d'intérêt économique
GIEC,Groupe intergouvernemental sur l'évolution du climat
GIG,Grand invalide de guerre
GIGN,Groupe d'intervention de la gendarmerie nationale.
GIHP,Groupements pour l’insertion des handicapés physiques
GIP,Groupement d'intérêt public (recherche et développement technologique)
GIPA,Garantie individuelle du pouvoir d’achat
GIPAS,Gestion de l'Information et Prévention des Atteintes à la Sécurité
GIPN,Groupe d'intervention de la police nationale.
GIR,Groupe d'intervention régional
GIR,Groupe Iso Ressource
GIRPEH,Groupements interprofessionnels régionaux pour la promotion de l’emploi des personnes handicapées
GIRZOM,Groupe interministériel pour la restructuration des zones minières
GIS,Groupement d'intérêt scientifique
GIS-Institut,des maladies rares Groupement d’intérêt scientifique maladies rares
GISTRID,Gestion par Internet du Suivi des Transferts Internationaux de Déchets
GM,Gendarmerie Mobile
GMAO,Gestion de la Maintenance Assistée par Ordinateur
GMAP,Groupe de modélisation pour l'assimilation et la prévision
GME,Groupement momentané d'entreprises
GMEI,Groupe de météorologie expérimentale et instrumentale
GMEM,Groupe maritime d'économie mixte
GMG,Groupe Montagne Gendarmerie
GMGEC,Groupe de météorologie de grande échelle et climat
GMME,Groupe de météorologie à moyenne échelle
GMR,Garantie mensuelle de rémunération
GMR,Gestion Maîtrise des Risques (sous service de la DINUM)
GMSIH,Groupement pour la modernisation du système d'information hospitalier
GN,Gendarmerie Nationale
GNC,Croupe national de contrôle
GNDA,Groupement national des directeurs d’associations
GNI,Groupement national des IRTS
GOELAMS,Groupe Ouest Est d’études des Leucémies et Autres Maladies du Sang
GOR,Groupe d'Observation et de Recherche
GOS,Groupe Observation Surveillance
GPB,Gilet Pare-Balles
GPEC,Gestion prévisionnelle des emplois et des compétences
GPEEC,"Gestion prévisionnelle des effectifs, des emplois et des compétences"
GPEM,Groupes Permanents d’Etude des Marchés (Voir : CMPE)
GPEM/IC,Groupes Permanents d’Etude des Marchés Informatique-Communication (Voir : CMPE)
GPIOM,Groupe de Pelotons d'Intervention d'Outre-Mer
GPL,Gaz de pétrole liquéfié.
GPMC,Gestion Prévisionnelle Des Métiers Et Des Compétences
GPS,Global Positionning System (positionnement par satellite)
GPU,Géoportail de l'Urbanisme
GPU,Grands projets urbains
GPV,Grands projets de ville
GR,Garde Républicaine
GRAD,Regroupement d’adaptation
GRC,Gestion des Risques Contaminants
GREF,Génie rural des eaux et forêts
GREP,Groupe de recherche pour l’éducation et la prospective
GREP,Groupements régionaux d'épargne et de prévoyance
GREPHH,Groupe d’évaluation des pratiques en hygiène hospitalière
GRESS,Groupe de recherche en sciences sociales
GRETA,Groupement d’établissements
GRH,Gestion des ressources humaines
GRIDAUH,Groupement de recherche sur les institutions et le droit de l'aménagement de l'urbanisme et de l'habitat
GRIP,Groupe de Rapprochement et d'Investigation de Proximité
GRO,Guide de Raisonnement Opérationnel
GROG,Groupe Régional d’Observation de la Grippe
GRPH,Garantie de Ressources pour Personnes Handicapées
GRSP,Groupement régional de santé publique
GRTH,Garantie de Ressources du Travailleur Handicapé
GSAN,Gendarmerie de la Sécurité des Armements Nucléaires
GSGN,Groupe Spéléo de la Gendarmerie Nationale
GSHR,Gestion des Sources Humaines de Renseignement
GSI,Gestion des Sollicitations et des Interventions
GSIEN,Groupement de scientifique pour l'information sur l'énergie nucléaire
GSPC,Groupe salafiste pour la prédication et le combat
GT,Groupe de travail
GTA,Gendarmerie des Transports Aériens
GTB,Groupement technique de bassin
GTC,Gestion Technique Centralisée
GTD,Groupement technique départemental
GTG,Groupement Tactique de Gendarmerie
GTN,Groupes Techniques Nationaux
GTNDO,Groupe Technique National de Définition des Objectifs de Santé Publique
GTS,Grande Tenue de Service
GU,Guichet Unique
GUEPARH,Cellules de gestion unifiée et partagée des ressources humaines
GUTI,Guichet Unique Téléphonie et Internet
GVT,Glissement vieillesse-technicité
H3C,Haut Conseil du commissariat aux comptes
HACCP,Hazard analysis critical control point (Analyse des points critiques et leur maîtrise)
HAD,Hospitalisation à domicile
HADOPI,Haute Autorité pour la diffusion des œuvres et la protection des droits sur Internet
HALDE,Haute autorité de lutte contre les discriminations et pour l'égalité
HAS,Haute autorité de santé
HATVP,Haute autorité pour la transparence de la vie publique
HBM,Habitations bon marché
HBMA,Habitation à Bon Marché Amélioré
HBMO,Habitation à Bon Marché Ordinaire
HC,Hospitalisation Compléte
HCAAM,Haut Conseil pour l’Avenir de l’Assurance Maladie
HCB,Haut Conseil des biotechnologies
HCCI,Haut conseil de la coopération internationale
HCEAC,Secrétariat du Haut conseil de l'éducation artistique et culturelle
HCEIA,Haut comité d’étude et d’information sur l’alcoolisme
HCERES,Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur
HCFPS,Haut Conseil du financement de la protection sociale
HCI,Haut Conseil à l'intégration (Secrétariat du)
HCLPD,Haut Comité Pour Le Logement Des Personnes Défavorisées
HCODF,"Hausse de tir, Consommation, Objectif, Débit, Feu !"
HCR,Haut Commissariat des Nations Unies pour les réfugiés
HCSP,Haut comité de la santé publique devenu Haut conseil de la santé
HCSP,Haut Conseil de la santé publique
HCTISN,Haut Comité pour la transparence et l'information sur la sécurité nucléaire
HCVA,Haut Conseil à la vie associative
HDJ,Hôpital De Jour
HDT,Hospitalisation à la Demande d’un Tiers
HFD,Haut fonctionnaire de défense
HFDS,Service du haut fonctionnaire de défense et de sécurité
HIA,Hôpital d’Instruction des Armées
HID,Enquète Handicaps-Incapacités-Dépendances
HJ,Hospitalisation de Jour
HJG,Horaire Journalier par Gendarme
HK,Heckler & Koch
HL,Hôpital local
HLM,Habitations à loyer modéré
HLMO,HLM Ordinaire
HMA,Hygiène Mentale Adulte
HO,Hospitalisation d’Office
HP,Hôpital Psychiatrique (devenu CHS)
HP,Hôtel de police
HPST,"Hôpital, patients, santé , territoire (loi HPST)"
HQE,Haute qualité environnementale
HQP,Hautes Qualifications Professionnelles
HS,Hospitalisation de Semaine
HSC,Hospitalisation sous contrainte.
HSCT,"Hygiène, Sécurité et Conditions de Travail"
HTA,Hypertension Artérielle
HTCD,Hospitalisation de Trés Courte Durée
HVS,Habitat et vie sociale
I(D)TF,Interdiction (Définitive) du Territoire Français
IA,Inspection Académique
IAA,Inspecteur d’Académie Adjoint
IACMP,Instruction d’Application du CMP 2001
IAD,Indemnité annuelle de départ
IADE,Infirmier anesthésiste diplômé d’état
IADSDEN,Inspecteur d’Académie – Directeur des Services Départementaux de l’Education Nationale
IAO,Infirmier(e) d’Accueil et d’Orientation
IASS,Inspecteur des Affaires Sanitaires et Sociales
IATA,International air transport association (Association internationale des transports aériens)
IATOS,"(Personnel) Ingénieur, administratif, technicien, ouvrier et de service"
IATP,Imposition additionnelle à la taxe professionnelle
IAURIF,Institut d'aménagement et d'urbanisme de la région Ile-de-France
IBN.,Indice biologique global normalisé.
IBODE,Infirmier de bloc opératoire diplômée d’État
ICC,Institut du commerce et de la consommation
ICCP,"Identification, Clac, Charge, Prêt !"
ICHN,Indemnités compensatrices de handicaps naturels
ICM,Indice Comparatif de Mortalité
ICPE,Installations Classées pour la Protection de l'Environnement
IDE,Infirmier diplômé d’état
IDEF,Institut de l’enfance et de la famille
IDES,Institut de développement économique et social
IDF,Ile de France
IDF,institut pour le développement forestier
IDF,Impossibilité de faire
IDG,Infrastructure de Données Géographiques
IDHEC,Institut des hautes études cinématographiques
IDI,Institut de développement industriel
IDIA,Institut de développement des industries agricoles et alimentaires
IDICA,Institut de développement industriel des composants automobiles
IDJS,Institut Départemental des Jeunes Sourds
IDS,Initiative de défense stratégique
IE,Intelligence Économique
IE2R,"Indemnité Entretien, Retouche et Regalonnage"
IEAD,intervention éducative à domicile
IEAE,Institut d'éducation à l'agro-environnement de Florac
IEC,Instruction Élémentaire de Conduite
IED,Intervention Éducative à Domicile
IEDOM,Institut d'émission des départements d'outre-mer
IEG,Industries électriques et gazières
IEM,institut d’éducation motrice
IEMFP,Institut d’Éducation Motrice et de Formation Professionnelle
IEMSU,Institut D’education Motrice Scolaire Et Universitaire
IEN,Inspecteur de l’Education Nationale
IENAIS,Inspecteur de l’Education nationale chargé d’adaptation et d’intégration scolaire
IEOM,Institut d’émission d’outre-mer
IEP,Institut d'études politiques
IER,Institut d'économie rurale.
IES,Institut d’éducation sensoriel
IESF,Institut d’Economie Sociale et Familiale
IET,Inspecteur de l’Enseignement Technique
IFA,Institut français d'architecture.
IFAC,Inspection fusionnée d'assiette et de contrôle
IFCE,Institut français du cheval et de l'équitation
IFCS,Institut de Formation des Cadres de Santé
IFD,indemnité Forfaitaire de déplacement
IFE,Institut français de l'éducation
IFEN,Institut français de l'environnement
IFET,Institut pour la formation des élus territoriaux
IFN,Inventaire forestier national.
IFOP,Institut français d’opinion publique
IFOP,Instrument financier de l'orientation de la pêche
IFORE,Institut de formation de l'environnement
IFP,Institut français du pétrole
IFP Énergies nouvelles,Institut français du pétrole Énergies nouvelles
IFPP,Institut de Formation de Pédicurie Podologie
IFRECOR,Comité national de l'initiative française des récifs coralliens
IFREMER,Institut français de recherche pour l'exploitation de la mer
IFSTTAR,"Institut français des sciences et technologies des transports, de l'aménagement et des réseaux"
IG,Inspection générale
IGA,Inspection générale de l'administration
IGAEN,Inspecteur général adjoint de l’Education nationale
IGAG,Inspecteur Général des Armées Gendarmerie
IGAM,Inspection générale des affaires maritimes
IGAS,Inspection générale des affaires sociales
IGE,Inspection général de l'environnement
IGEN,Inspecteur Général de l’Éducation Nationale
IGESR,"Inspection générale de l'éducation, du sport et de la recherche"
IGF,Inspection générale des finances
IGGA,Infraction Grave Génératrice d'Accidents
IGGN,Inspection Générale de la Gendarmerie Nationale
IGH,Immeuble de grande hauteur.
IGN,Institut géographique national
IGN,Institut national de l'information géographique et forestière
IGP,Indications géographiques protégées
IGPDE,Institut de la gestion publique et du développement économique - IGPDE
IGREF,"Ingénieur du génie rural, des eaux et forêts."
IGREF,"Ingénieurs du génie rural, des eaux et forêts"
IHEDAT,Institut des hautes études pour l'aménagement du territoire
IHEDN,Institut des hautes études de la défense nationale
IHEDN,Institut des hautes études de défense nationale
IHESI,Institut des hautes études de sécurité intérieure
IHEST,Institut des hautes études pour la science et la technologie
IHEV,Institut des hautes études de la vigne et du vin
IIC,Inspection des installations classées.
IIO,Inspecteur de l’Information et de l’Orientation
IJ,Information jeunesse
IK,indemnité kilométrique
ILM,Immeuble à loyer moyen
ILN,Immeuble à loyer normal
ILS,Infraction à la législation sur les stupéfiants.
IM,Indice majoré
IMC,Indice de Masse Corporelle
IMCCE,Institut de mécanique céleste et de calcul des éphémérides
IME,Institut Médico-Educatif
IME,Institut monétaire européen.
IMEC,Instruction mixte à l'échelon central
IMED,Instituts Médicaux-ÉDucatifs
IMP,Institut médico-psychologique
IMPACT,Innover et moderniser les processus MDPH pour l’accès à la compensation sur les territoires
IMPP,Institut Médico Psycho-Pédagogique
IMPRO,Institut Médico-Professionnel
IMS,Ischémie Myocardique Silencieuse
IMSA,Institut des Métiers de la Santé et de l’Accompagnement
IN,Infections Nosocomiales
INA,Institut national de l'audiovisuel
INALCO,Institut national des langues et civilisations orientales
INAO,Institut national de l'origine et de la qualité
INAVEM,Institut nationale d'aide aux victimes et de médiation
INB,Installation nucléaire de base
INC,Institut national de la consommation
INC,Institut national de la chimie
INCa,Institut national du cancer
INED,Institut national d'études démographiques
INEE,Institut national de l'écologie et de l'environnement
INEP,Institut national d'éducation populaire
INERIS,Institut national de l'environnement industriel et des risques
INERM,Institut national d'études rurales montagnardes.
INES,Identité nationale électronique sécurisée
INET,Institut national des études territoriales
INFPN,Institut national de la formation de la police nationale
INHA,Institut national d'histoire de l'art
INHES,Institut national des hautes études de sécurité
INHESJ,Institut national des hautes études de la sécurité et de la justice
INHNI,Institut national de l’hygiène et du nettoyage industriel
INI,Institution nationale des Invalides
INJA,Institut national des jeunes aveugles
INJEP,Institut de la jeunesse et de l'éducation populaire
INJEP,Institut national de la jeunesse et de l'éducation populaire
INJS,Institut national des jeunes sourds
INMARSAT,International maritime satellite organisation (Organisation internationale de télécommunications maritimes par satellites)
INP,Institut national polytechnique
INP,Institut national du patrimoine
INP,Intistut national de physique
INPES,Institut national de prévention et d'éducation pour la santé
INPI,Institut national de la propriété industrielle
INPN,Inventaire national du patrimoine naturel.
INPNPP ou IN2P3,Institut national de physique nucléaire et de physique des particules
INPS,Institut national de la police scientifique
INRA,Institut national de la recherche agronomique
INRAP,Institut national de recherches archéologiques préventives
INRETS,Institut national de recherche sur les transports et leur sécurité
INRIA,Institut national de la recherche en informatique et en automatique
INRIA,Institut national de recherche en informatique et en automatique
INRP,Institut national de la recherche pédagogique
INRS,Institut national de recherche et de sécurité pour la prévention des accidents du travail et des maladies professionnelles
INS,Institut national de statistique (Belgique).
INS2I,Institut des sciences de l'information et de leurs interactions
INSA,Institut national des sciences appliquées
INSB,Institut national des sciences biologiques
INSEE,Institut national de la statistique et des études économiques
INSEP,Institut national du sport et de l'éducation physique
INSEP,"Institut National du Sport, de l'Expertise et de la Performance"
INSEP,"Institut national du sport, de l'expertise et de la performance"
INSERM,Institut national de la santé et de la recherche médicale
INSHEA,Institut national supérieur de formation et de recherche pour l’éducation des jeunes handicapés et les enseignements adaptés
INSHS,Institut national des sciences humaines et sociales
INSIS,Institut des sciences de l'ingénierie et des systèmes
INSMI,Institut national des sciences mathématiques et de leurs interactions
INSTN,Institut national des sciences et techniques nucléaires
INSU,Institut national des sciences de l'univers
